state,city,house_price_per_sqft,number_of_BHKs,school_name,school_email,school_phone_number,college_name,college_email,college_phone_number,weather,temperature,humidity,air_quality,estimated_cost_of_living
Andhra Pradesh,Rajahmundry,2620,2,Nagarjuna Sanskrit College,Nagarjun@gmail.com,7849672113,Kakatiya Institute of Technology and Science,Kakatiya I@gmail.com,9778632522,Sunny,32.5,16,128,2.24
Andhra Pradesh,Hyderabad,5.82,2 BHK,Rajkiya Jawahar Vidyalaya,rajkiyajawaharvidyalaya@school.edu,7003000000,Kasturba Gandhi College Of Education,kasturbagandhi@college.edu,9416000000,Rainy,21.4,76,74,16777
Andhra Pradesh,Hyderabad,18.14,3 BHK,Panchsheel Vidyalaya,dsgamal22@school.edu,7983000000,K.C. College,kccollege@college.edu,2223000000,Rainy,1.29,71.18,32,43500
Andhra Pradesh,Nellore,11.14,3,"'Kendriya Vidyalaya, Nellore",'Kendriy@gmail.com,9875642504,"Kendriya Vidyalaya, Nellore",Kendriya V@gmail.com,8467122731,Clear,290.45,73,101,3622.71
Andhra Pradesh,Visakhapatnam,464.96,3 BHK,Sri Satya Sai Vidya,sssvidya.monogram@school.edu,9444000000,Kendriya Vidyalaya No.2,kendriya.vidyalaya@college.edu,9444000000,Cloudy,29.8,33,102,11714
Andhra Pradesh,Vijayawada,155.29,2 BHK,New Era Public School,info@school.edu,0,Krishna Institute of Engineering & Technology,krishna@college.edu,0,Sunny,34.1,46,22,12894
Andhra Pradesh,Hyderabad,44.5885,3 BHK,Kendriya Vidyalaya No.1,kv1.vizagkrishnareddipalem@school.edu,8919000000,Kendriya Vidyalaya No.1,kv1.vizagkrishnareddipalem@college.edu,8919000000,Stormy,21.6,65,81,32500
Andhra Pradesh,Nandyal,2300,3,RAM ACADEMY,RAM ACAD@gmail.com,7849672103,MEENAKSHI MANAGEMENT COLLEGE,MEENAKSHI @gmail.com,9778632512,Sunny,28,28,92,2279
Andhra Pradesh,Tirupati,2.3,3 BHK,Arya Vidyapeeth,arya.vidyapeeth@school.edu,9818000000,North Eastern Hill University,nehu@college.edu,3602000000,Rainy,29.1,36,101,3997
Andhra Pradesh,Nellore,2300000,2,"St. Joseph's High School, Nellore, Andhra Pradesh 524001, India, +91-0861-2341099",St. Jose@gmail.com,9875642480,"Nellore Engineering College, Nellore, Andhra Pradesh 524004, India, +91-0861-2443844",Nellore En@gmail.com,9123456794,Clear,30,9,110,134.97
Andhra Pradesh,Hyderabad,85.58,2 BHK,"CBSE, Affiliated to CBSE",school15212@school.edu,4023000000,"National Institute of Technology, Warangal",nitwadmissions@college.edu,8791000000,Cloudy,16.78,31,90,4672
Andhra Pradesh,Hyderabad,60,2 BHK,Chirec International School,chirec.admissions@school.edu,9990000000,St. Ann's College for Women,principal@college.edu,9990000000,Sunny,33.9,35,100,30979
Andhra Pradesh,Visakhapatnam,22,2 BHK,Airport Public School,airportpublicschool@school.edu,7722000000,K.L.E.S. Institute of Technology,principal@college.edu,9701000000,Sunny,30,61,102,13575
Andhra Pradesh,Hyderabad,61.25,3 BHK,"Kendriya Vidyalaya, ACB",principalkvacb@school.edu,9490000000,Kendriya Vidyalaya,principal@college.edu,9490000000,Sunny,26.8,41,45,10641
Andhra Pradesh,Hyderabad,1431.53,2 BHK,Delhi Public School,mcr.dps@school.edu,9556000000,Lovely Professional University,principal@college.edu,9556000000,Sunny,33.2,45,118,13648
Andhra Pradesh,Hyderabad,944,3 BHK,School No 30039,principal30039@school.edu,8980000000,Koneru Lakshmaiah Education Foundation,principal@college.edu,8980000000,Cloudy,18.6,83,139,15014
Andhra Pradesh,Hyderabad,101.2,1 BHK,Royal Convent School,info@school.edu,9769000000,Smt. K.R.Mahila Mahavidyalaya,principal@college.edu,9877000000,Sunny,25.2,57,100,45750
Andhra Pradesh,Visakhapatnam,3500,2,Bhupalam Vision School,Bhupalam@gmail.com,9875642488,Ramakrishna Mission Saraswathi Vidyalaya,Ramakrishn@gmail.com,8467122715,Rain,16,72,46,1547.5
Andhra Pradesh,Vizag,30.7,2 BHK,Saket Public School,sps@school.edu,8870000000,Saket College of Engineering,scc@college.edu,8870000000,Sunny,33.6,26,120,13033
Andhra Pradesh,Visakhapatnam,5199,4 BHK,The Mother's International School,info@school.edu,1142000000,Symbiosis Centre for Management and Human Resource Development,scmhrd@college.edu,2025000000,Sunny,29.72,53,112,77122
Andhra Pradesh,Hyderabad,1801.67,3 BHK,DPS R.K. Puram,rkpuram@school.edu,1141000000,Shri Ram College of Commerce,srcc@college.edu,1141000000,Sunny,16.8,26.5,45,62798
Andhra Pradesh,Hyderabad,647.5,2 BHK,GG International School,gginternationalschool@school.edu,7359000000,School of Business and Management,studentcare@college.edu,7359000000,Cloudy,27.2,64,26,21453
Andhra Pradesh,Vijayawada,1944.25,3 BHK,RKM Vernacular High School,rkmvhshyderabad@school.edu,9849000000,Sri Venkateswara College of Engineering,svce@college.edu,8150000000,Rainy,31,85.1,152,11063
Andhra Pradesh,Vijayawada,17.8,2 BHK,Sri Shailaja School,shailajaschool1919@school.edu,7030000000,Sri Venkateshwara College of Engineering,svce@college.edu,9083000000,Cloudy,26.8,90,106,25687
Andhra Pradesh,Visakhapatnam,60.48,2 BHK,D.P.S. N.I.T. SCHOOL,dpsnitschool@school.edu,9555000000,S.V. University,svu@college.edu,8913000000,Stormy,29.1667,67.5,101,28892
Andhra Pradesh,Vijayawada,4064,1 BHK,"RKMVSR Junior College, Vijayawada",vijayawadajunior@school.edu,8669000000,RKMVSR Junior College,vijayawadajunior@college.edu,8669000000,Sunny,33.9,18,101,13100
Andhra Pradesh,Hyderabad,126.53,3 BHK,Delhi Public School,dps@school.edu,8856000000,Vivekananda College,vivekananda.college@college.edu,8856000000,Sunny,28.75,58,74,66446
Andhra Pradesh,Vijayawada,73.22,3 BHK,Kendriya Vidyalaya,kvs.vatikanagar@school.edu,2228000000,Vivekananda Education Society\'s College of Engineering,vivekanandacollegeofengineering@college.edu,2228000000,Sunny,30.19,42,101,12217
Andhra Pradesh,Vizianagram,4500,1,"Ramakrishna Mission Sarada Vidyalaya, Vizianagaram, Vizianagram, Andhra Pradesh, 535001, India, +91 891 237 8311",Ramakris@gmail.com,7849672110,Vizianagram Engineering College,Vizianagra@gmail.com,9778632519,Clear,31,38,98,1400
Arunachal Pradesh,Itanagar,104.16,2 BHK,Balaji Public School,bps@school.edu,7061000000,Datta Meghe Institute of Management Management and Research,dmimr@college.edu,2228000000,Sunny,23.9,17,101,18374
Arunachal Pradesh,Arunachal Pradesh,18,2,Jawahar Navodaya Vidyalaya,Jawahar @gmail.com,7849672101,Jawahar Navodaya Vidyalaya,Jawahar Na@gmail.com,9778632510,Sunny,14,15,52,6854
Arunachal Pradesh,Itanagar,504.36,3 BHK,St. Joseph's Convent School,sjcs@school.edu,9436000000,Jawaharlal Nehru College,jawaharlalnehrulcollege@college.edu,9436000000,Sunny,23.3,20,81,12692
Arunachal Pradesh,Itanagar,898,4 BHK,St. John's School,stjohns@school.edu,9820000000,"Mahatma Education Society's College of Arts, Commerce and Science",mescac.ac.edu@college.edu,2226000000,Snowy,0,88,108,118000
Arunachal Pradesh,Itanagar,409.23,2 BHK,Government Higher Secondary School Itanagar,principal@school.edu,8794000000,Dera Natung Government College,principal@college.edu,9402000000,Cloudy,22.2,55,100,30000
Arunachal Pradesh,Itanagar,158.53,2 BHK,Sant Gadge Baba School,santgadgebaba@school.edu,8453000000,YASHWANTI CHAVAN COLLEGE OF SCIENCE,yashwanticollege@college.edu,8453000000,Sunny,25.8,16,101,10150
Assam,Guwahati,4763,2 BHK,"Jawahar Navodaya Vidyalaya, Guwahati, Assam",jnvguwahati@school.edu,9435000000,Assam Engineering College,aec@college.edu,3612000000,Sunny,35,76,129,44750
Assam,Dispur,2263.46,2 BHK,D.A.V. Public School,dav.ps@school.edu,8094000000,Bangalore Institute of Technology,bangaloreinstituteoftechnology@college.edu,8094000000,Sunny,25.25,29,97,26000
Assam,Guwahati,188.54,3 BHK,Ridhi Siddhi School,pradip@school.edu,7827000000,Bharat college,bharat@college.edu,8148000000,Rainy,23.5,70,56,15271
Assam,Guwahati,417.52,2 BHK,St John\'s High School,school10@school.edu,9871000000,Sarala Jeevan Public School,coll2@college.edu,9971000000,Sunny,30.7,28,103,23281
Assam,Guwahati,258.98,3 BHK,Parijat Academy,parijat@school.edu,8788000000,North East Institute of Technology,college@college.edu,9877000000,Sunny,28.42,66,102,22000
Assam,Dispur,6.45,3 BHK,Bhargabhushan Choudhury DAV Public School,davschool574@school.edu,8186000000,Dibrugarh University,dibru@college.edu,3732000000,Sunny,28,48,43,20136
Assam,Guwahati,62.9,3 BHK,"DPS, Kannur",dpskannur@school.edu,9579000000,"DPS, Kannur",dpskannur@college.edu,9579000000,Cloudy,26.3,87,101,41700
Assam,Guwahati,2191.5,3 BHK,Utpal Shanghati International School,principal@school.edu,9708000000,International Institute of Technology,dr.k.p.dey@college.edu,9436000000,Sunny,30.5,50,70,23000
Assam,Karimganj,3100000,2,"Jamia Islamia Public School, Karimganj",Jamia Is@gmail.com,9875642493,"Govt. Women's College, Karimganj",Govt. Wome@gmail.com,8467122720,Clouds,28.2,53,100,2000
Assam,Dibrugarh,48.99,3 BHK,Dibrugarh College,info@school.edu,9436000000,Dibrugarh University,info@college.edu,9436000000,Sunny,35,69,120,19093
Assam,Guwahati,613.31,2 BHK,Gurukul,info@school.edu,8886000000,Bharatiya Vidya Bhavan's St. Xavier's College,info@college.edu,3762000000,Sunny,29.2,40,117,2307
Assam,Guwahati,12522,3 BHK,Billabong High International School,info@school.edu,9892000000,JAIN (Deemed-to-be University),info@college.edu,9892000000,Cloudy,39,12,123,127147
Assam,Gauhati,24.1,1 BHK,Maharashtra Board,info@school.edu,7978000000,Maharashtra Board,info@college.edu,7780000000,Cloudy,31.89,71,103,13900
Assam,Guwahati,122.86,2 BHK,Don Bosco School,donboscoguwahati@school.edu,3762000000,Krishna Kanta Handiqui State Open University,mail.kkhsou.ac.in@college.edu,3762000000,Cloudy,22.4,60,63,10335
Assam,Guwahati,120.93,3 BHK,Apeejay School,info@school.edu,4084000000,Apeejay School,principal@college.edu,4084000000,Sunny,34,5,12,60030
Assam,Guwahati,89.27,4 BHK,Kendriya Vidyalaya No.2,principal@school.edu,2233000000,Mumbai Institute of Technology,principal@college.edu,2233000000,Rainy,28.2,72,36,39711
Assam,Guwahati,6.4,3 BHK,"Bengali High School, Jalukbari",bangalihighschooljalukbari@school.edu,6912000000,Assam Engineering College,rec.college@college.edu,9864000000,Rainy,24.47,87,164,7321
Assam,Dibrugarh,1076.75,2 BHK,Little Flower High School,littleflower.hssl@school.edu,1123000000,School of Open Learning (SOL),sol@college.edu,1123000000,Cloudy,24.5,36,49,7374
Assam,Guwahati,100,1 BHK,D.A.V. Public School,davpublicschool@school.edu,9927000000,Sri Venkateswara College,svc@college.edu,1142000000,Sunny,38.45,41,146,17830
Assam,Guwahati,39.22,2 BHK,Yashwant School Of Excellence,yse@school.edu,8158000000,Vishwakarma Institute of Technology,vit@college.edu,8158000000,Cloudy,26.5,42,107,2989
Bihar,Patna,37.66,2 BHK,St. Mary's School,admin@school.edu,9051000000,D Y Patil Institute of Engineering & Technology,admin@college.edu,9051000000,Cloudy,32.8,58,108,4097
Bihar,Patna,20.58,2 BHK,Nalanda International School,admissions@school.edu,7679000000,Gautam Buddha University,admissions@college.edu,7779000000,Cloudy,35,37,96,11396
Bihar,Patna,127.25,3 BHK,Mother Teresa School,school.motherteresa@school.edu,8929000000,Mother Teresa School,college.motherteresa@college.edu,8929000000,Sunny,30,45,84,39171
Bihar,Patna,40,3 BHK,Bal Bhavan School,school@school.edu,8000000000,Krishna Educational Society’s College of Engineering,college@college.edu,8000000000,Rainy,24,73,56,17346
Bihar,Patna,1289.32,1 BHK,Saraswati Shishu Mandir,ssm.saket@school.edu,9873000000,,college@college.edu,9873000000,Sunny,27.5,27.9,50,20716
Bihar,Muzaffarpur,23.35,2 BHK,Bhartiya Public School,contact@school.edu,9478000000,Bhartiya Public School,contact@college.edu,2346000000,Sunny,33.49,6.7,101,33767
Bihar,Patna,190,2 BHK,Salesian School,salesian.school@school.edu,9946000000,Salesian College,counselling@college.edu,9946000000,Sunny,25,10,100,22225
Bihar,Patna,115,1 BHK,Mahavir Public School,mahavir.publicschool@school.edu,9431000000,House of Charity School,email@college.edu,7227000000,Cloudy,27.93,48,40,15150
Bihar,Patna,56.41,3 BHK,St. Xaviers High School,stxavierspatna@school.edu,9960000000,Gandhi Institute of Technology and Management,gandhitech.ac.in@college.edu,9334000000,Cloudy,32.93,52,123,3673
Bihar,Patna,125,2 BHK,Patna Public School,admissions@school.edu,9431000000,"National Institute of Technology, Patna",info@college.edu,6122000000,Rainy,25,75,100,21053
Bihar,Patna,152,2 BHK,St. Paul's High School,spaulshighschool@school.edu,8124000000,Christ University,info@college.edu,8124000000,Stormy,31.2,66,100,42818
Bihar,Patna,138.76,3 BHK,Rajkiya Sr Sec School,1880002441@school.edu,1802000000,Jain Institute of Technology Management and Information Technology,jitm@college.edu,7831000000,Stormy,21.1,63,100,10013
Bihar,Kingshailagarh,1800,2,"D.A.V. School, contact number: 9568007069",D.A.V. S@gmail.com,9875642466,"Krishna Public School, contact number: 9568007069",Krishna Pu@gmail.com,9123456780,Clouds,18,86,100,1350
Bihar,Patna,34.4,1 BHK,Bihar School of Yoga,biharschool@school.edu,9003000000,"National Institute of Technology, Patna",nitp@college.edu,9003000000,Cloudy,33.3,58,116,27160
Bihar,Patna,2500,4 BHK,Bhartiya Vidya Mandir School,principal@school.edu,7222000000,IIT Patna,principal@college.edu,7222000000,Sunny,27.6,21,107,15000
Bihar,Patna,119,2 BHK,Sukhada Public School,sukhadapublicschool@school.edu,9680000000,Patna College,principal@college.edu,8930000000,Rainy,35,87,41,22800
Bihar,Patna,167.24,3 BHK,Ramakrishna Mission Vidyalaya,rkmv4@school.edu,9210000000,Ramakrishna Mission Vidyapith,ramakrishna4@college.edu,9583000000,Sunny,33.8,37,91,44800
Bihar,Patna,48.52,1 BHK,Teachmint School,sanjay@school.edu,8151000000,Teachmint University,sanjay@college.edu,8151000000,Sunny,28.4,73,81,62000
Bihar,Patna,396.96,2 BHK,Saraswati Shishu Mandir,saraswatishishumandir.tondiarpet@school.edu,4449000000,Saraswati Shishu Mandir,saraswatishishumandir.tondiarpet@college.edu,4449000000,Sunny,28.4,48,9,19722
Bihar,Patna,1705,2 BHK,Bal Bhavan Public School,balbhavanschoolpatna@school.edu,9586000000,SIBM Patna,sibm.patna@college.edu,8681000000,Cloudy,29,56,179,10860
Bihar,Patna,1962.95,1 BHK,Bhagwan Bhagwati Sr. Sec. School,bhagwanbhagwatisrsec@school.edu,9534000000,Sri Krishna College of Engineering and Technology,skcetc@college.edu,9208000000,Sunny,24.2,65.8,34,33170
Bihar,Patna,26.8,3 BHK,North Point,northpoint@school.edu,1235000000,St. Philomena's College,sp@college.edu,1235000000,Stormy,11.3,78.727,27,42013
Bihar,Patna,30.6,1 BHK,Rajalakshmi Matriculation Higher Secondary School,rajalakshmi.matriculation@school.edu,7359000000,Sri Raja Rajeswari Engineering College,sri.rr.sri.edu@college.edu,9087000000,Sunny,27.7,49.3,140,12100
Bihar,Patna,1,3 BHK,St. Joseph\'s Convent School,stjosephsconventpatna@school.edu,9836000000,St. Joseph\'s College,stjosephscollegepatna@college.edu,6122000000,Sunny,32.7,24,82,11196
Bihar,Patna,1968,2,"Govt. Girls' High School, P.O.-Pahariya, Gaya, Bihar 823002, India (0631) 2211212, 2211212, 0631-2",Govt. Gi@gmail.com,9875642502,"Vardhaman College of Engineering, Patna",Vardhaman @gmail.com,8467122729,Cloudy,16.5,80,101,421
Bihar,Patna,43.16,1 BHK,Shri Shankaracharya Vidya Mandir,ssvmbhagwanpur@school.edu,8381000000,Vishwakarma Institute of Technology,vit@college.edu,9513000000,Sunny,35.2,22,99,35000
Bihar,Patna,951,3 BHK,S. D. Jain High School,sdjainhighschool@school.edu,9167000000,Ramakrishna Mission Vivekananda College,vivekananda@college.edu,9167000000,Sunny,29,28,130,31049
Chhattisgarh,Korba,5.87,3,"[{'School Name': 'Bharat Seva High School', 'Address': 'Bharat Seva High School, Korba, Chhattisgarh 496001, India', 'Contact Number': '077817 00939'},",[{'Schoo@gmail.com,9875642487,"[{'College Name': 'Government College of Education', 'Address': 'Government College of Education, Korba, Chhattisgarh 496001, India', 'Contact Number': '077817 51975'}",[{'College@gmail.com,8467122714,Partly Cloudy,19,23,52,2392
Chhattisgarh,Raipur,101.09,3 BHK,Aitaspur High School,aitaspurhighschool@school.edu,2322000000,Aurangabad College,aurangabadcollege@college.edu,2322000000,Cloudy,22.3,29,13,1466
Chhattisgarh,Raipur,43.37,1 BHK,D B P School,d.b.p.school@school.edu,9016000000,Sharif Educational Institute,info@college.edu,9016000000,Cloudy,26.1,42.03,101,12650
Chhattisgarh,Bilaspur,1670,2,Sargam Public School,Sargam P@gmail.com,8564312352,North East College of Engineering and Technology,North East@gmail.com,7890123463,Sunny,34.3,37,108,745
Chhattisgarh,Raipur,13.661,3 BHK,Sri Ram Global School,contactus@school.edu,8081000000,Sri Ram College of Commerce,srcc@college.edu,8081000000,Sunny,28.3,66,40,22500
Chhattisgarh,Raipur,182.87,3 BHK,St.Xavier's High School,paul@school.edu,8454000000,"St. Xavier's College, Mumbai",stxaviers@college.edu,2224000000,Snowy,11.6,63,56,47662
Chhattisgarh,Raipur,1471,2 BHK,Sarvodaya Kanya Vidyalaya,rachitagupta96@school.edu,9660000000,St. Xavier's College,xaviercollege@college.edu,9833000000,Cloudy,28.126,49,93,12260
Dadra and Nagar Haveli and Daman and Diu,Dadra,12500000,2,Little Flower High School,Little F@gmail.com,9875642482,Shri Vidya High School,Shri Vidya@gmail.com,9123456796,Clear,29.67,38,100,126000
Delhi,New Delhi,2.95,2,"Kendriya Vidyalaya, Sector 1, Rohini, Delhi, 110085",Kendriya@gmail.com,8564312355,"Kendriya Vidyalaya, Sector 1, Rohini, Delhi, 110085",Kendriya V@gmail.com,7890123466,Clear,11.4,22,100,142
Delhi,Delhi,5207,2,"['New Era School', 'Paras International School', 'Hari Vidya Mandir', 'Kendriya Vidyalaya', 'Kendriya Vidyalaya', 'Kendriya Vidyalaya', 'Kendriya Vidyalaya', 'Kendri",info@example.com,0,"['Dyal Singh College', 'Maitreyi College', 'Jamia Millia Islamia', 'Delhi College of Arts and Commerce', 'Jamia Millia Islamia', 'Jamia Millia Islamia', 'Jamia Millia Islamia', 'Jamia Millia",,,overcast clouds,25,88,42,1839
Delhi,Delhi,6.58,3,"['DPS INTERNATIONAL SCHOOL', 'APEX SCHOOL', 'SAVIOUR SCHOOL', 'MOTHER TERESA SCHOOL', 'SCHOOL OF CHRIST']",contact@example.com,1000000000,"['GALGOTIAS COLLEGE OF ENGINEERING',",,,Cloudy,32.5,61,91,3782
Delhi,Delhi,5572,3,"['Delhi Public School, Dwarka', 'Jaypee Public School, Dwarka', 'Apeejay School, Vasant Kunj', 'Apeejay School, Dwarka', 'Army Public School, Dwarka', 'Yadav",contact@example.com,3000000000,"['Netaji Subhash Institute of Technology, Dwarka', 'Sri Guru Tegh Bahadur Institute of Technology, Dwarka', 'Guru Gobind Singh Indraprastha University, Dwarka', 'Delhi Technological University, Dwarka',",,,Fog,25.5,33,66,1704
Delhi,Delhi,1.87,2,"['Birla Public School', 'Bal Bharati Public School', 'Nova Public School', 'National Public School', 'Lotus Valley International School', 'The Shri Ram School', 'Springdales School', 'DPS R K Puram', 'DPS International', 'Amity International",info@example.com,0,"['Amity University', 'Indira Gandhi Delhi Technical University for Women', 'Guru Gobind Singh Indraprastha University', 'Indian Institute of Technology Delhi', 'Jamia Millia Islamia', 'University of Delhi', 'University School of Information Technology', 'University School",,,Clear,29.9,30.9,60,85.43
Delhi,Delhi,3.38,2,"[{'id': 5106, 'name': 'The Sanskriti School'}, {'id': 3656, 'name': 'The Doon School'}, {'id': 3858, 'name': 'Modern School'}, {'id': 3186",contact@example.com,0,"['Indian Institute of Technology (IIT) Delhi', 'University of Delhi', 'Delhi Technological University', 'Jamia Milia Islamia', 'Netaji Subhas Institute of Technology']",,,Fog,27.1,64,25,1086
Delhi,Delhi,12078,3,"['Rama Krishna Mission Residential School', 'DPS International', 'Vasant Valley School', 'Bal Bharti Public School', 'The Shri Ram School', 'The Mother's International School', 'Lotus Valley International School', 'BML Munjal University', 'Sardar",hod@example.com,0,"['Jagannath University', 'New Delhi Institute of Management', 'Delhi Institute of Pharmaceutical Sciences and Research', 'Arya College of Engineering & Technology', 'Guru Gobind Singh Indraprastha University', 'Rayat Bahra University', 'Hamdard University', '",,,Overcast,18.6,62,26,7594.2
Delhi,Delhi,17400000,2,"['The Heritage School', 'Kendriya Vidyalaya IIIT Delhi', 'Lotus Valley International School', 'Kendriya Vidyalaya RK Puram', 'Mount Carmel School', 'Jamia Millia Islamia', 'Kendriya Vidyalaya",admission@example.com,8000000000,"['University of Delhi', 'Indian Institute of Technology Delhi', 'Guru Gobind Singh Indraprastha University', 'Indraprastha Institute of Information Technology', 'Jamia Millia Islamia', 'Indian Institute of Technology Delhi, School of Management', 'Goa College of Engineering",,,light intensity drizzle,23.2,86,70,3325
Delhi,Delhi,3389000,3,"['Bal Bharati Public School, Vasant Vihar', 'Bal Bharati Public School, Lajpat Nagar']",admin@example.com,1000000000,"['Kirori Mal College', 'Hansraj College', 'Miranda House']",,,Partly cloudy,34.65,67,157,1819
Delhi,Delhi,112,3,"['DPS INTERNATIONAL SCHOOL','S.R.I.P.M. SCHOOL','ST. XAVIER'S SCHOOL','DELHI PUBLIC SCHOOL ADARSH GROUP OF SCHOOLS','M",schools@example.com,1000000000,"['VIVEKANAND INSTITUTE OF PROFESSIONAL STUDIES','ADARSH GROUP OF COLLEGES','ALLEN SCHOOL OF COMPUTER SCIENCE','DELHI PUBLIC SCHOOL ADARSH GROUP OF COL",,,cloudy,29.5,67.17,67,122.5
